Reporting Area,MMWR Year,MMWR Week,"Dengue virus infections, Dengue, Current week","Dengue virus infections, Dengue, Current week, flag","Dengue virus infections, Dengue, Previous 52 weeks Max†","Dengue virus infections, Dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue, Cum 2021†","Dengue virus infections, Dengue, Cum 2021†, flag","Dengue virus infections, Dengue, Cum 2020†","Dengue virus infections, Dengue, Cum 2020†, flag","Dengue virus infections, Dengue-like illness, Current week","Dengue virus infections, Dengue-like illness, Current week, flag","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue-like illness, Cum 2021†","Dengue virus infections, Dengue-like illness, Cum 2021†, flag","Dengue virus infections, Dengue-like illness, Cum 2020†","Dengue virus infections, Dengue-like illness, Cum 2020†, flag","Dengue virus infections, Severe dengue, Current week","Dengue virus infections, Severe dengue, Current week, flag","Dengue virus infections, Severe dengue, Previous 52 weeks Max†","Dengue virus infections, Severe dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Severe dengue,  Cum 2021†","Dengue virus infections, Severe dengue,  Cum 2021†, flag","Dengue virus infections, Severe dengue,  Cum 2020†","Dengue virus infections, Severe dengue, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
US RESIDENTS,2021,5,,-,19,,4,,80,,,-,1,,,-,2,,,-,1,,,-,,-,,US RESIDENTS,20210501,
TOTAL,2021,2,,-,39,,,-,48,,,-,5,,,-,2,,,-,3,,,-,,-,,TOTAL,20210270,
PACIFIC,2021,2,,-,7,,,-,12,,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC,20210257,
NEVADA,2021,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEVADA,,20210253,POINT (-114.916992 39.283294)
ALASKA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20210258,POINT (-151.631889 63.631126)
WASHINGTON,2021,2,,-,1,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20210262,POINT (-120.592492 47.411715)
OREGON,2021,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20210261,POINT (-120.605279 43.940449)
GUAM,2021,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210266,POINT (144.653198 13.3532)
AMERICAN SAMOA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210264,
US RESIDENTS,2021,1,,-,19,,,-,13,,,-,1,,,-,1,,,-,0,,,-,,-,,US RESIDENTS,20210101,
CONNECTICUT,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20210103,POINT (-72.738288 41.575155)
MASSACHUSETTS,2021,1,,-,3,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20210105,POINT (-71.481104 42.151077)
NEW JERSEY,2021,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20210110,POINT (-74.655514 40.110253)
NEW YORK CITY,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20210112,
PENNSYLVANIA,2021,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20210113,POINT (-77.838886 40.896694)
ILLINOIS,2021,1,,-,2,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20210115,POINT (-89.148632 40.124144)
OHIO,2021,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OHIO,,20210118,POINT (-82.70936 40.415534)
KANSAS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20210122,POINT (-98.38018 38.484729)
NEBRASKA,2021,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20210125,POINT (-99.810595 41.527099)
SOUTH DAKOTA,2021,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20210127,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2021,1,,-,16,,,-,2,,,-,1,,,-,1,,,-,0,,,-,,-,,SOUTH ATLANTIC,20210128,
DISTRICT OF COLUMBIA,2021,1,,-,0,,,-,1,,,-,0,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210130,POINT (-77.016275 38.904785)
GEORGIA,2021,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20210132,POINT (-83.426574 32.638481)
MARYLAND,2021,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,MARYLAND,,20210133,POINT (-76.687282 38.946466)
WEST VIRGINIA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20210137,POINT (-80.613729 38.642579)
ALABAMA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20210139,POINT (-86.844516 32.756889)
KENTUCKY,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20210140,POINT (-85.290484 37.526683)
WEST SOUTH CENTRAL,2021,1,,-,12,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20210143,
US RESIDENTS,2021,2,,-,19,,,-,32,,,-,1,,,-,1,,,-,0,,,-,,-,,US RESIDENTS,20210201,
NEW HAMPSHIRE,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20210206,POINT (-71.57139 43.680429)
NEW YORK,2021,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20210211,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2021,2,,-,12,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20210243,
NEBRASKA,2021,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20210225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20210238,
NORTH DAKOTA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20210226,POINT (-100.46931 47.446305)
ILLINOIS,2021,2,,-,2,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20210215,POINT (-89.148632 40.124144)
IOWA,2021,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20210221,POINT (-93.500061 42.074659)
TEXAS,2021,2,,-,12,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,TEXAS,,20210247,POINT (-99.317341 31.447238)
DISTRICT OF COLUMBIA,2021,2,,-,0,,,-,1,,,-,0,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210230,POINT (-77.016275 38.904785)
NEW ENGLAND,2021,2,,-,3,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20210202,
RHODE ISLAND,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20210207,POINT (-71.534637 41.572574)
DELAWARE,2021,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20210229,POINT (-75.452394 38.994926)
ALABAMA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20210239,POINT (-86.844516 32.756889)
KANSAS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20210222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,2,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20210234,POINT (-79.130883 35.52603)
NEW JERSEY,2021,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20210210,POINT (-74.655514 40.110253)
NEW MEXICO,2021,2,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20210254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,2,,-,3,,,-,6,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL,20210214,
TENNESSEE,2021,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20210242,POINT (-86.343226 35.842998)
CONNECTICUT,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20210203,POINT (-72.738288 41.575155)
MARYLAND,2021,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,MARYLAND,,20210233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20210235,POINT (-80.864614 33.878572)
OKLAHOMA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20210246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210265,POINT (145.725693 15.1834)
OHIO,2021,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OHIO,,20210218,POINT (-82.70936 40.415534)
MINNESOTA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210223,POINT (-94.198308 46.349153)
LOUISIANA,2021,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20210245,POINT (-91.840238 30.921314)
HAWAII,2021,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20210260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,2,,-,16,,,-,5,,,-,1,,,-,1,,,-,0,,,-,,-,,SOUTH ATLANTIC,20210228,
PENNSYLVANIA,2021,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20210213,POINT (-77.838886 40.896694)
UTAH,2021,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20210255,POINT (-111.678222 39.323779)
COLORADO,2021,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20210250,POINT (-105.547832 38.998552)
VERMONT,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20210208,POINT (-72.662695 44.075252)
KENTUCKY,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20210240,POINT (-85.290484 37.526683)
PUERTO RICO,2021,2,,-,29,,,-,15,,,-,5,,,-,1,,,-,3,,,-,,-,PUERTO RICO,,20210267,POINT (-66.414655 18.215692)
MAINE,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20210204,POINT (-69.06137 45.117911)
VIRGINIA,2021,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20210236,POINT (-78.666382 37.510861)
NEW ENGLAND,2021,1,,-,3,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20210102,
MAINE,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20210104,POINT (-69.06137 45.117911)
NEW HAMPSHIRE,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20210106,POINT (-71.57139 43.680429)
RHODE ISLAND,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20210107,POINT (-71.534637 41.572574)
ARIZONA,2021,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20210249,POINT (-111.664616 34.293239)
WISCONSIN,2021,2,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20210219,POINT (-89.732969 44.639954)
IDAHO,2021,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20210251,POINT (-114.659366 44.389073)
VERMONT,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20210108,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2021,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20210109,
NEW YORK,2021,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20210111,POINT (-75.59655 42.921241)
EAST NORTH CENTRAL,2021,1,,-,3,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL,20210114,
INDIANA,2021,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20210116,POINT (-86.2818 39.919991)
MICHIGAN,2021,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20210117,POINT (-85.730977 44.874798)
WISCONSIN,2021,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20210119,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2021,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20210120,
IOWA,2021,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20210121,POINT (-93.500061 42.074659)
