Reporting Area,MMWR Year,MMWR Week,"Dengue virus infections, Dengue, Current week","Dengue virus infections, Dengue, Current week, flag","Dengue virus infections, Dengue, Previous 52 weeks Max†","Dengue virus infections, Dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue, Cum 2020†","Dengue virus infections, Dengue, Cum 2020†, flag","Dengue virus infections, Dengue, Cum 2019†","Dengue virus infections, Dengue, Cum 2019†, flag","Dengue virus infections, Dengue-like illness, Current week","Dengue virus infections, Dengue-like illness, Current week, flag","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue-like illness, Cum 2020†","Dengue virus infections, Dengue-like illness, Cum 2020†, flag","Dengue virus infections, Dengue-like illness, Cum 2019†","Dengue virus infections, Dengue-like illness, Cum 2019†, flag","Dengue virus infections, Severe dengue, Current week","Dengue virus infections, Severe dengue, Current week, flag","Dengue virus infections, Severe dengue, Previous 52 weeks Max†","Dengue virus infections, Severe dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Severe dengue,  Cum 2020†","Dengue virus infections, Severe dengue,  Cum 2020†, flag","Dengue virus infections, Severe dengue,  Cum 2019†","Dengue virus infections, Severe dengue, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
MIDDLE ATLANTIC,2020,4,,-,15,,,-,9,,,-,2,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200409,
NEW YORK CITY,2020,4,,-,8,,,-,6,,,-,1,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY,20200412,
PENNSYLVANIA,2020,4,,-,4,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
INDIANA,2020,4,,-,2,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
MICHIGAN,2020,4,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
OHIO,2020,4,,-,2,,,-,1,,,-,1,,,-,1,,,-,0,,,-,,-,OHIO,,20200418,POINT (-82.70936 40.415534)
WISCONSIN,2020,4,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,4,,-,4,,1,,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200420,
MINNESOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
MISSOURI,2020,4,,-,4,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200424,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
