Reporting Area,MMWR Year,MMWR Week,"Dengue virus infections§ , Dengue, Current week","Dengue virus infections§ , Dengue, Current week, flag ","Dengue virus infections§ , Dengue, Previous 52 weeks Max†","Dengue virus infections§ , Dengue, Previous 52 weeks Max†, flag","Dengue virus infections§ , Dengue, Cum 2019†","Dengue virus infections§ , Dengue, Cum 2019†, flag","Dengue virus infections§ , Dengue, Cum 2018†","Dengue virus infections§ , Dengue, Cum 2018†, flag","Dengue virus infections§ s, Dengue-like illness, Current week","Dengue virus infections§ , Dengue-like illness, Current week, flag ","Dengue virus infections§ , Dengue-like illness, Previous 52 weeks Max†","Dengue virus infections§ , Dengue-like illness, Previous 52 weeks Max†, flag","Dengue virus infections§ , Dengue-like illness, Cum 2019†","Dengue virus infections§ , Dengue-like illness, Cum 2019†, flag","Dengue virus infections§ , Dengue-like illness, Cum 2018†","Dengue virus infections§ , Dengue-like illness, Cum 2018†, flag","Dengue virus infections§ , Severe dengue, Current week","Dengue virus infections§ , Severe dengue, Current week, flag","Dengue virus infections§ , Severe dengue, Previous 52 weeks Max†","Dengue virus infections§ , Severe dengue, Previous 52 weeks Max†, flag","Dengue virus infections§ , Severe dengue,  Cum 2019†","Dengue virus infections§ , Severe dengue,  Cum 2019†, flag","Dengue virus infections§ , Severe dengue,  Cum 2018†","Dengue virus infections§ , Severe dengue, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
MOUNTAIN,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,MOUNTAIN,20190148
MISSOURI,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190124
US RESIDENTS,2019,1,,-,18,,,-,6,,,-,1,,,-,,-,,-,1,,,-,,-,,US RESIDENTS,20190101
AMERICAN SAMOA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190164
NEW YORK CITY,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20190112
WEST NORTH CENTRAL,2019,1,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20190120
VIRGINIA,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190136
CALIFORNIA,2019,1,,-,7,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190159
MICHIGAN,2019,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190117
NEBRASKA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190125
NEVADA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190153
MAINE,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190104
IOWA,2019,1,,-,4,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190121
OHIO,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190118
GEORGIA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190132
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190168
RHODE ISLAND,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190107
OREGON,2019,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190161
UTAH,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190155
INDIANA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190116
MONTANA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190152
CONNECTICUT,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190103
NEW JERSEY,2019,1,,-,5,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190110
LOUISIANA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190145
ARKANSAS,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190144
EAST NORTH CENTRAL,2019,1,,-,4,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,,EAST NORTH CENTRAL,20190114
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190166
NEW YORK,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190111
NORTH CAROLINA,2019,1,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190134
PUERTO RICO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190167
SOUTH ATLANTIC,2019,1,,-,9,,,-,2,,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,20190128
HAWAII,2019,1,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190160
COLORADO,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190150
MISSISSIPPI,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190141
DISTRICT OF COLUMBIA,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190130
NORTH DAKOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190126
VERMONT,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190108
FLORIDA,2019,1,,-,8,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190131
WYOMING,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190156
WEST SOUTH CENTRAL,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20190143
WEST VIRGINIA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190137
SOUTH DAKOTA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190127
NEW ENGLAND,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20190102
TEXAS,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190147
WASHINGTON,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190162
KANSAS,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190122
MIDDLE ATLANTIC,2019,1,,-,5,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20190109
PACIFIC,2019,1,,-,7,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,,PACIFIC,20190157
MASSACHUSETTS,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190105
DELAWARE,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190129
ILLINOIS,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190115
