Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2015","Cryptosporidiosis, Cum 2015, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Dengue§, Current week","Dengue§, Current week, flag","Dengue§, Previous 52 weeks Med","Dengue§, Previous 52 weeks Med, flag","Dengue§, Previous 52 weeks Max","Dengue§, Previous 52 weeks Max, flag","Dengue§, Cum 2015","Dengue§, Cum 2015, flag","Dengue§, Cum 2014","Dengue§, Cum 2014, flag","Dengue Severe, Current week","Dengue Severe, Current week, flag","Dengue Severe, Previous 52 weeks Med","Dengue Severe, Previous 52 weeks Med, flag","Dengue Severe, Previous 52 weeks Max","Dengue Severe, Previous 52 weeks Max, flag","Dengue Severe, Cum 2015","Dengue Severe, Cum 2015, flag","Dengue Severe, Cum 2014","Dengue Severe, Cum 2014, flag",Location 1,Location 2
MISSOURI,2015,17,,-,3,,13,,18,,41,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.635791, -92.566299)",
C.N.M.I.,2015,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
NEW MEXICO,2015,17,,-,1,,7,,8,,20,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520881, -106.240578)",
FLORIDA,2015,17,8,,18,,123,,180,,144,,,-,1,,5,,8,,19,,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
SOUTH CAROLINA,2015,17,,-,1,,3,,16,,27,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.998822, -81.045366)",
TENNESSEE,2015,17,5,,2,,12,,44,,28,,,-,0,,3,,7,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.680941, -85.774487)",
COLORADO,2015,17,,-,1,,6,,3,,16,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"COLORADO
(38.843843, -106.133609)",
GUAM,2015,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
W.N. CENTRAL,2015,17,2,,14,,39,,146,,191,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,,
MICHIGAN,2015,17,1,,4,,13,,51,,50,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.661322, -84.714386)",
NEBRASKA,2015,17,1,,2,,9,,25,,22,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.641044, -99.365719)",
ALASKA,2015,17,,-,0,,1,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.845078, -147.72206)",
MAINE,2015,17,,-,1,,5,,12,,18,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"MAINE
(45.254229, -68.985026)",
TEXAS,2015,17,3,,7,,22,,63,,74,,,-,0,,3,,3,,8,,,-,0,,0,,,-,,-,"TEXAS
(31.82724, -99.426768)",
NORTH CAROLINA,2015,17,,-,0,,42,,25,,54,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622, -79.15925)",
IDAHO,2015,17,3,,1,,14,,17,,19,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.682632, -114.363727)",
W.S. CENTRAL,2015,17,7,,14,,33,,132,,135,,,-,0,,4,,3,,9,,,-,0,,0,,,-,,-,,
