Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2017","Cryptosporidiosis, Cum 2017, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Dengue Virus Infection, Dengue§, Current week","Dengue Virus Infection, Dengue§, Current week, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Med","Dengue Virus Infection, Dengue§, Previous 52 weeks Med, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Max","Dengue Virus Infection, Dengue§, Previous 52 weeks Max, flag","Dengue Virus Infection, Dengue§, Cum 2017","Dengue Virus Infection, Dengue§, Cum 2017, flag","Dengue Virus Infection, Dengue§, Cum 2016","Dengue Virus Infection, Dengue§, Cum 2016, flag","Dengue Virus Infection, Severe Dengue, Current week","Dengue Virus Infection, Severe Dengue, Current week, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max, flag","Dengue Virus Infection, Severe Dengue, Cum 2017","Dengue Virus Infection, Severe Dengue, Cum 2017, flag","Dengue Virus Infection, Severe Dengue, Cum 2016","Dengue Virus Infection, Severe Dengue, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,31,,152,,715,,31,,108,,1,,13,,49,,1,,49,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,1,,-,7,,23,,,-,2,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,,
NORTH CAROLINA,2017,28,,-,3,,17,,51,,106,,,-,0,,3,,,-,7,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW JERSEY,2017,28,,-,2,,23,,32,,51,,,-,0,,5,,1,,27,,,-,0,,1,,,-,3,,"NEW JERSEY
(40.104655, -74.386686)",
ARIZONA,2017,28,2,,3,,82,,50,,28,,,-,0,,2,,,-,7,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2017,28,,-,1,,8,,16,,44,,,-,0,,1,,,-,11,,,-,0,,0,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
S. ATLANTIC,2017,28,10,,23,,75,,509,,680,,,-,1,,8,,6,,104,,,-,0,,0,,,-,1,,,
KANSAS,2017,28,,-,2,,7,,38,,60,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MID. ATLANTIC,2017,1,11,,14,,60,,11,,13,,,-,3,,9,,,-,9,,,-,0,,0,,,-,,-,,
RHODE ISLAND,2017,28,,-,0,,2,,9,,6,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
CONNECTICUT,2017,28,,-,1,,6,,31,,24,,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEW YORK CITY,2017,1,5,,3,,12,,5,,4,,,-,0,,4,,,-,3,,,-,0,,0,,,-,,-,,
MISSOURI,2017,28,1,,5,,23,,109,,163,,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
E.N. CENTRAL,2017,1,11,,34,,298,,11,,30,,,-,1,,7,,,-,2,,,-,0,,1,,,-,,-,,
NEBRASKA,2017,28,3,,4,,16,,71,,85,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WEST VIRGINIA,2017,28,,-,0,,7,,4,,11,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
COLORADO,2017,28,2,,3,,14,,73,,79,,,-,0,,2,,,-,11,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEVADA,2017,28,,-,0,,2,,11,,7,,,-,0,,2,,,-,4,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MOUNTAIN,2017,28,5,,12,,118,,283,,330,,,-,0,,5,,1,,36,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,1,1,,26,,107,,1,,14,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,
E.S. CENTRAL,2017,28,3,,9,,41,,186,,252,,,-,0,,2,,5,,8,,,-,0,,0,,,-,,-,,
PENNSYLVANIA,2017,28,7,,7,,27,,159,,174,,,-,0,,2,,3,,11,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW ENGLAND,2017,28,,-,8,,24,,171,,171,,,-,0,,2,,,-,18,,,-,0,,0,,,-,,-,,
HAWAII,2017,28,,-,0,,3,,2,,,-,,-,0,,1,,4,,53,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
UTAH,2017,28,1,,2,,23,,56,,79,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
E.N. CENTRAL,2017,28,15,,34,,301,,739,,871,,1,,0,,8,,13,,40,,,-,0,,0,,,-,1,,,
NEW MEXICO,2017,28,,-,1,,7,,17,,35,,,-,0,,0,,,-,5,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
S. ATLANTIC,2017,1,1,,25,,78,,1,,22,,,-,2,,7,,,-,7,,,-,0,,1,,,-,,-,,
VIRGINIA,2017,28,5,,3,,15,,67,,99,,,-,0,,3,,,-,13,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
AMER. SAMOA,2017,28,,N,0,,0,,,N,,N,,-,0,,4,,26,,,-,,-,0,,0,,,-,,-,,
IDAHO,2017,28,,-,1,,7,,38,,57,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
LOUISIANA,2017,28,,-,1,,7,,12,,54,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2017,28,2,,2,,60,,45,,72,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
ARKANSAS,2017,28,3,,1,,4,,39,,34,,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WYOMING,2017,28,,-,0,,3,,,-,10,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2017,28,,-,3,,14,,64,,79,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
E.S. CENTRAL,2017,1,3,,10,,43,,3,,6,,1,,0,,3,,1,,,-,,-,0,,0,,,-,,-,,
CALIFORNIA,2017,28,1,,7,,18,,174,,189,,,-,1,,13,,11,,100,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
C.N.M.I.,2017,28,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
W.N. CENTRAL,2017,28,4,,20,,137,,439,,851,,,-,0,,9,,1,,32,,,-,0,,0,,,-,,-,,
MARYLAND,2017,28,,-,1,,10,,26,,37,,,-,0,,1,,,-,8,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
W.S. CENTRAL,2017,1,,-,17,,39,,,-,3,,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,
DIST. OF COL.,2017,28,,-,0,,2,,,-,,-,,-,0,,1,,2,,12,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ILLINOIS,2017,28,,-,5,,50,,105,,107,,,-,0,,4,,1,,17,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
WISCONSIN,2017,28,3,,12,,55,,215,,290,,1,,0,,1,,7,,5,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
AMER. SAMOA,2017,29,,N,0,,0,,,N,,N,,-,0,,4,,26,,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,1,3,,11,,109,,3,,10,,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,
PACIFIC,2017,1,1,,13,,47,,1,,8,,,-,3,,27,,,-,27,,,-,0,,1,,,-,,-,,
OHIO,2017,28,12,,11,,207,,209,,187,,,-,0,,2,,3,,6,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
