Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Cryptosporidiosis, Cum 2015","Cryptosporidiosis, Cum 2015, flag","Dengue§, Current week","Dengue§, Current week, flag","Dengue§, Previous 52 weeks Med","Dengue§, Previous 52 weeks Med, flag","Dengue§, Previous 52 weeks Max","Dengue§, Previous 52 weeks Max, flag","Dengue§, Cum 2016","Dengue§, Cum 2016, flag","Dengue§, Cum 2015","Dengue§, Cum 2015, flag","Dengue Severe, Current week","Dengue Severe, Current week, flag","Dengue Severe, Previous 52 weeks Med","Dengue Severe, Previous 52 weeks Med, flag","Dengue Severe, Previous 52 weeks Max","Dengue Severe, Previous 52 weeks Max, flag","Dengue Severe, Cum 2016","Dengue Severe, Cum 2016, flag","Dengue Severe, Cum 2015","Dengue Severe, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,59,,118,,373,,59,,112,,,-,1,,6,,,-,1,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2016,1,1,,6,,21,,1,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2016,1,8,,11,,42,,8,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2016,1,4,,1,,13,,4,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,NEW YORK CITY,
E.N. CENTRAL,2016,1,13,,24,,84,,13,,15,,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2016,1,5,,13,,55,,5,,10,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2016,1,13,,28,,95,,13,,48,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
DIST. OF COL.,2016,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2016,1,3,,10,,66,,3,,14,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2016,1,2,,16,,45,,2,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2016,1,6,,9,,24,,6,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2016,1,8,,11,,49,,8,,4,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
AMER. SAMOA,2016,1,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
WYOMING,2016,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
GEORGIA,2016,1,4,,6,,18,,4,,12,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ARIZONA,2016,1,2,,1,,5,,2,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
IOWA,2016,1,1,,5,,20,,1,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
PUERTO RICO,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MISSISSIPPI,2016,1,1,,0,,3,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2016,1,1,,3,,12,,1,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2016,1,,-,1,,9,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
CALIFORNIA,2016,1,2,,6,,15,,2,,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2016,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MISSOURI,2016,1,,-,0,,5,,,-,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MONTANA,2016,1,,-,1,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MAINE,2016,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2016,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VERMONT,2016,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
