Year,Travel status,Week,Reported cases
2010,All,01,189
2010,All,02,75
2010,All,03,100
2010,All,04,113
2010,All,05,112
2010,All,06,123
2010,All,07,131
2010,All,08,127
2010,All,09,97
2010,All,10,104
2010,All,11,117
2010,All,12,136
2010,All,13,105
2010,All,14,100
2010,All,15,77
2010,All,16,103
2010,All,17,101
2010,All,18,86
2010,All,19,117
2010,All,20,136
2010,All,21,132
2010,All,22,187
2010,All,23,258
2010,All,24,322
2010,All,25,310
2010,All,26,336
2010,All,27,445
2010,All,28,545
2010,All,29,515
2010,All,30,518
2010,All,31,589
2010,All,32,599
2010,All,33,596
2010,All,34,443
2010,All,35,492
2010,All,36,465
2010,All,37,418
2010,All,38,374
2010,All,39,294
2010,All,40,232
2010,All,41,237
2010,All,42,204
2010,All,43,217
2010,All,44,156
2010,All,45,107
2010,All,46,81
2010,All,47,72
2010,All,48,51
2010,All,49,62
2010,All,50,51
2010,All,51,32
2010,All,52,22
2010,All,53,0
2011,All,01,32
2011,All,02,38
2011,All,03,30
2011,All,04,14
2011,All,05,22
2011,All,06,25
2011,All,07,19
2011,All,08,23
2011,All,09,10
2011,All,10,16
2011,All,11,5
2011,All,12,12
2011,All,13,6
2011,All,14,11
2011,All,15,6
2011,All,16,7
2011,All,17,9
2011,All,18,5
2011,All,19,4
2011,All,20,7
2011,All,21,9
2011,All,22,5
2011,All,23,7
2011,All,24,12
2011,All,25,13
2011,All,26,37
2011,All,27,29
2011,All,28,44
2011,All,29,51
2011,All,30,48
2011,All,31,51
2011,All,32,61
2011,All,33,78
2011,All,34,72
2011,All,35,72
2011,All,36,84
2011,All,37,93
2011,All,38,70
2011,All,39,80
2011,All,40,60
2011,All,41,76
2011,All,42,70
2011,All,43,68
2011,All,44,59
2011,All,45,49
2011,All,46,29
2011,All,47,35
2011,All,48,33
2011,All,49,30
2011,All,50,29
2011,All,51,17
2011,All,52,23
2011,All,53,0
2012,All,01,89
2012,All,02,30
2012,All,03,27
2012,All,04,20
2012,All,05,20
2012,All,06,18
2012,All,07,12
2012,All,08,12
2012,All,09,26
2012,All,10,26
2012,All,11,19
2012,All,12,16
2012,All,13,13
2012,All,14,15
2012,All,15,14
2012,All,16,13
2012,All,17,22
2012,All,18,15
2012,All,19,27
2012,All,20,28
2012,All,21,38
2012,All,22,55
2012,All,23,51
2012,All,24,78
2012,All,25,63
2012,All,26,70
2012,All,27,77
2012,All,28,92
2012,All,29,83
2012,All,30,109
2012,All,31,105
2012,All,32,136
2012,All,33,136
2012,All,34,142
2012,All,35,161
2012,All,36,180
2012,All,37,182
2012,All,38,195
2012,All,39,212
2012,All,40,263
2012,All,41,281
2012,All,42,285
2012,All,43,231
2012,All,44,310
2012,All,45,379
2012,All,46,321
2012,All,47,362
2012,All,48,399
2012,All,49,366
2012,All,50,343
2012,All,51,271
2012,All,52,276
2012,All,53,0
2013,All,01,306
2013,All,02,348
2013,All,03,274
2013,All,04,277
2013,All,05,250
2013,All,06,228
2013,All,07,157
2013,All,08,161
2013,All,09,141
2013,All,10,142
2013,All,11,113
2013,All,12,100
2013,All,13,99
2013,All,14,88
2013,All,15,92
2013,All,16,79
2013,All,17,59
2013,All,18,79
2013,All,19,81
2013,All,20,84
2013,All,21,91
2013,All,22,132
2013,All,23,211
2013,All,24,197
2013,All,25,309
