Year,Travel status,Age group,Male,Female
2010,All,< 1,0.9,0.6
2010,All,1 to 10,6.4,6
2010,All,11 to 19,20.4,15.6
2010,All,20 to 29,7.7,6.3
2010,All,30 to 39,4.8,3.9
2010,All,40 to 49,4.6,3.6
2010,All,50 to 59,4,3.7
2010,All,60 to 69,3.4,3
2010,All,70+,2.1,1.6
2010,All,Unknown,0.8,0.6
2011,All,< 1,0.9,0.8
2011,All,1 to 10,5.8,5.1
2011,All,11 to 19,21.4,16.5
2011,All,20 to 29,8,7
2011,All,30 to 39,5.3,3.9
2011,All,40 to 49,5,3.6
2011,All,50 to 59,4.2,3
2011,All,60 to 69,3.2,2.1
2011,All,70+,1.3,1.7
2011,All,Unknown,0.7,0.3
2012,All,< 1,0.9,0.6
2012,All,1 to 10,5.6,5
2012,All,11 to 19,21.5,15.5
2012,All,20 to 29,8.3,7.5
2012,All,30 to 39,4.7,4.1
2012,All,40 to 49,3.9,3.3
2012,All,50 to 59,3.5,4
2012,All,60 to 69,3,3.3
2012,All,70+,2.3,1.8
2012,All,Unknown,0.6,0.5
2013,All,< 1,0.8,0.5
2013,All,1 to 10,5,4.6
2013,All,11 to 19,18.5,14.5
2013,All,20 to 29,7.9,7.6
2013,All,30 to 39,5.1,4.5
2013,All,40 to 49,4.8,4.1
2013,All,50 to 59,4.5,4.4
2013,All,60 to 69,3.7,3.4
2013,All,70+,2.5,2.2
2013,All,Unknown,0.7,0.7
2014,All,< 1,0.4,0.4
2014,All,1 to 10,2.1,2.4
2014,All,11 to 19,9.5,6.9
2014,All,20 to 29,8.1,8.5
2014,All,30 to 39,6.8,7
2014,All,40 to 49,7.3,7
2014,All,50 to 59,8,7.5
2014,All,60 to 69,4.9,6.6
2014,All,70+,3.4,2.4
2014,All,Unknown,0.6,0.2
2015,All,< 1,0.4,0.3
2015,All,1 to 10,1.5,1.9
2015,All,11 to 19,5.9,5.8
2015,All,20 to 29,8.4,10
2015,All,30 to 39,6.9,8.3
2015,All,40 to 49,8.5,8.9
2015,All,50 to 59,7.2,9.7
2015,All,60 to 69,5.7,5.5
2015,All,70+,2.9,2
2015,All,Unknown,0,0.2
2016,All,< 1,0.2,0.2
2016,All,1 to 10,1.2,1.9
2016,All,11 to 19,4.6,5
2016,All,20 to 29,8.2,12.7
2016,All,30 to 39,7.9,9.8
2016,All,40 to 49,8.6,7.5
2016,All,50 to 59,8.4,8.5
2016,All,60 to 69,5.5,4.8
2016,All,70+,2.8,1.9
2016,All,Unknown,0.2,0.2
2017,All,< 1,0.5,0.2
2017,All,1 to 10,6.6,6.4
2017,All,11 to 19,16.6,11.8
2017,All,20 to 29,5.5,7.7
2017,All,30 to 39,6.1,8.3
2017,All,40 to 49,6.9,5.4
2017,All,50 to 59,4.1,4.5
2017,All,60 to 69,3.3,3
2017,All,70+,1.5,1.5
2017,All,Unknown,0,0
2018,All,< 1,0,0.3
2018,All,1 to 10,3.6,2.5
2018,All,11 to 19,9.7,9.2
2018,All,20 to 29,5.5,9.9
2018,All,30 to 39,7.8,7
2018,All,40 to 49,7.2,8.6
2018,All,50 to 59,6.7,6.9
2018,All,60 to 69,4.7,4.5
2018,All,70+,3,2.8
2018,All,Unknown,0,0
2019,All,< 1,0.3,0.1
2019,All,1 to 10,2.8,2.3
2019,All,11 to 19,6.9,6.2
2019,All,20 to 29,5.8,7.5
2019,All,30 to 39,7.4,8.5
2019,All,40 to 49,8.2,8.1
2019,All,50 to 59,8.7,8
2019,All,60 to 69,5.5,7
2019,All,70+,3.8,3
2019,All,Unknown,0,0
2020,All,< 1,0.3,0.3
2020,All,1 to 10,8.1,9
2020,All,11 to 19,15.3,12.6
2020,All,20 to 29,8.5,7.5
2020,All,30 to 39,4.4,5.3
2020,All,40 to 49,4,5.5
2020,All,50 to 59,4.8,3.8
2020,All,60 to 69,3,2.8
2020,All,70+,2.8,1.9
2020,All,Unknown,0,0.1
2021,All,< 1,0.2,0.4
2021,All,1 to 10,8.6,8.6
2021,All,11 to 19,17.6,12.3
2021,All,20 to 29,8.8,6.9
2021,All,30 to 39,5.8,5
2021,All,40 to 49,6.3,4.2
2021,All,50 to 59,4.2,2.5
2021,All,60 to 69,2.2,2.5
2021,All,70+,2.2,1.8
2021,All,Unknown,0,0
2022,All,< 1,0.1,0.2
2022,All,1 to 10,3.3,2.8
2022,All,11 to 19,11.7,8
2022,All,20 to 29,5,6
2022,All,30 to 39,6.3,6
2022,All,40 to 49,7.4,7.6
2022,All,50 to 59,9.6,8.2
2022,All,60 to 69,5,5.7
2022,All,70+,4,3.1
2022,All,Unknown,0,0
2023,All,< 1,0.2,0
2023,All,1 to 10,2.6,2.4
2023,All,11 to 19,9.7,6.8
2023,All,20 to 29,6.7,7.3
2023,All,30 to 39,7.4,6.9
2023,All,40 to 49,8.7,7.2
2023,All,50 to 59,8.1,8.7
2023,All,60 to 69,5.4,4.9
2023,All,70+,3.6,3.4
2023,All,Unknown,0,0
