country,level_of_risk,region
Burkina Faso,Frequent/Continuous,Africa
Djibouti,Frequent/Continuous,Africa
Egypt,Frequent/Continuous,Africa
Eritrea,Frequent/Continuous,Africa
Ethiopia,Frequent/Continuous,Africa
Kenya,Frequent/Continuous,Africa
Reunion,Frequent/Continuous,Africa
Somalia,Frequent/Continuous,Africa
Sudan,Frequent/Continuous,Africa
United Republic of Tanzania,Frequent/Continuous,Africa
Benin,Sporadic/Uncertain,Africa
Burundi,Sporadic/Uncertain,Africa
Cameroon,Sporadic/Uncertain,Africa
Cape Verde,Sporadic/Uncertain,Africa
Central African Republic,Sporadic/Uncertain,Africa
Chad,Sporadic/Uncertain,Africa
Comoros,Sporadic/Uncertain,Africa
Congo,Sporadic/Uncertain,Africa
Cote d'Ivoire,Sporadic/Uncertain,Africa
Democratic Republic of the Congo,Sporadic/Uncertain,Africa
Equatorial Guinea,Sporadic/Uncertain,Africa
Gabon,Sporadic/Uncertain,Africa
Gambia,Sporadic/Uncertain,Africa
Ghana,Sporadic/Uncertain,Africa
Guinea,Sporadic/Uncertain,Africa
Guinea-Bissau,Sporadic/Uncertain,Africa
Liberia,Sporadic/Uncertain,Africa
Madagascar,Sporadic/Uncertain,Africa
Malawi,Sporadic/Uncertain,Africa
Mali,Sporadic/Uncertain,Africa
Mauritania,Sporadic/Uncertain,Africa
Mauritius,Sporadic/Uncertain,Africa
Mayotte,Sporadic/Uncertain,Africa
Mozambique,Sporadic/Uncertain,Africa
Namibia,Sporadic/Uncertain,Africa
Niger,Sporadic/Uncertain,Africa
Nigeria,Sporadic/Uncertain,Africa
Rwanda,Sporadic/Uncertain,Africa
São Tomé and Príncipe,Sporadic/Uncertain,Africa
Senegal,Sporadic/Uncertain,Africa
Seychelles,Sporadic/Uncertain,Africa
Sierra Leone,Sporadic/Uncertain,Africa
South Sudan,Sporadic/Uncertain,Africa
Togo,Sporadic/Uncertain,Africa
Uganda,Sporadic/Uncertain,Africa
Zambia,Sporadic/Uncertain,Africa
Zimbabwe,Sporadic/Uncertain,Africa
Angola,Risk varies by region,Africa
Anguilla,Frequent/Continuous,Americas
Antigua and Barbuda,Frequent/Continuous,Americas
Aruba,Frequent/Continuous,Americas
Bahamas,Frequent/Continuous,Americas
Barbados,Frequent/Continuous,Americas
Belize,Frequent/Continuous,Americas
Bolivia,Frequent/Continuous,Americas
Brazil,Frequent/Continuous,Americas
British Virgin Islands,Frequent/Continuous,Americas
Cayman Islands,Frequent/Continuous,Americas
Colombia,Frequent/Continuous,Americas
Costa Rica,Frequent/Continuous,Americas
Cuba,Frequent/Continuous,Americas
Dominica,Frequent/Continuous,Americas
Dominican Republic,Frequent/Continuous,Americas
Ecuador,Frequent/Continuous,Americas
El Salvador,Frequent/Continuous,Americas
French Guiana,Frequent/Continuous,Americas
Grenada,Frequent/Continuous,Americas
Guadeloupe,Frequent/Continuous,Americas
