loc,cases,deaths,date,Region
#adm2+name,#affected+infected,#affected+killed,#date,#region
ALBAY,15,0,1/10/2016,REGION V-BICOL REGION
ALBAY,13,0,1/17/2016,REGION V-BICOL REGION
ALBAY,9,0,1/24/2016,REGION V-BICOL REGION
ALBAY,14,0,1/31/2016,REGION V-BICOL REGION
ALBAY,9,0,2/7/2016,REGION V-BICOL REGION
ALBAY,17,0,2/14/2016,REGION V-BICOL REGION
ALBAY,3,0,2/21/2016,REGION V-BICOL REGION
ALBAY,11,0,2/28/2016,REGION V-BICOL REGION
ALBAY,8,0,3/6/2016,REGION V-BICOL REGION
ALBAY,6,0,3/13/2016,REGION V-BICOL REGION
ALBAY,5,1,3/20/2016,REGION V-BICOL REGION
ALBAY,5,0,3/27/2016,REGION V-BICOL REGION
ALBAY,2,0,4/3/2016,REGION V-BICOL REGION
ALBAY,2,0,4/10/2016,REGION V-BICOL REGION
ALBAY,6,0,4/17/2016,REGION V-BICOL REGION
ALBAY,5,0,4/24/2016,REGION V-BICOL REGION
ALBAY,5,0,5/1/2016,REGION V-BICOL REGION
ALBAY,3,0,5/8/2016,REGION V-BICOL REGION
ALBAY,2,0,5/15/2016,REGION V-BICOL REGION
ALBAY,5,0,5/22/2016,REGION V-BICOL REGION
ALBAY,4,0,5/29/2016,REGION V-BICOL REGION
ALBAY,3,0,6/5/2016,REGION V-BICOL REGION
ALBAY,5,0,6/12/2016,REGION V-BICOL REGION
ALBAY,9,0,6/19/2016,REGION V-BICOL REGION
ALBAY,6,0,6/26/2016,REGION V-BICOL REGION
ALBAY,7,0,7/3/2016,REGION V-BICOL REGION
ALBAY,4,0,7/10/2016,REGION V-BICOL REGION
ALBAY,7,0,7/17/2016,REGION V-BICOL REGION
ALBAY,12,0,7/24/2016,REGION V-BICOL REGION
ALBAY,5,0,7/31/2016,REGION V-BICOL REGION
ALBAY,12,0,8/7/2016,REGION V-BICOL REGION
ALBAY,16,0,8/14/2016,REGION V-BICOL REGION
ALBAY,15,0,8/21/2016,REGION V-BICOL REGION
ALBAY,15,0,8/28/2016,REGION V-BICOL REGION
ALBAY,19,1,9/4/2016,REGION V-BICOL REGION
ALBAY,20,0,9/11/2016,REGION V-BICOL REGION
ALBAY,17,0,9/18/2016,REGION V-BICOL REGION
ALBAY,13,0,9/25/2016,REGION V-BICOL REGION
ALBAY,16,0,10/2/2016,REGION V-BICOL REGION
ALBAY,14,0,10/9/2016,REGION V-BICOL REGION
ALBAY,7,0,10/16/2016,REGION V-BICOL REGION
ALBAY,19,0,10/23/2016,REGION V-BICOL REGION
ALBAY,9,0,10/30/2016,REGION V-BICOL REGION
ALBAY,6,0,11/6/2016,REGION V-BICOL REGION
ALBAY,9,0,11/13/2016,REGION V-BICOL REGION
ALBAY,15,0,11/20/2016,REGION V-BICOL REGION
ALBAY,18,0,11/27/2016,REGION V-BICOL REGION
ALBAY,19,0,12/4/2016,REGION V-BICOL REGION
ALBAY,2,0,12/11/2016,REGION V-BICOL REGION
ALBAY,9,0,12/18/2016,REGION V-BICOL REGION
ALBAY,14,0,12/25/2016,REGION V-BICOL REGION
ALBAY,10,0,1/1/2017,REGION V-BICOL REGION
ANGELES CITY,21,0,1/10/2016,REGION III-CENTRAL LUZON
ANGELES CITY,14,0,1/17/2016,REGION III-CENTRAL LUZON
