,year,week,start.date,end.date,district,cases
1,2020,1,2019-12-28,2020-01-03,Colombo,535
2,2020,1,2019-12-28,2020-01-03,Gampaha,362
3,2020,1,2019-12-28,2020-01-03,Kalutara,168
4,2020,1,2019-12-28,2020-01-03,Kandy,199
5,2020,1,2019-12-28,2020-01-03,Matale,101
6,2020,1,2019-12-28,2020-01-03,NuwaraEliya,16
7,2020,1,2019-12-28,2020-01-03,Galle,102
8,2020,1,2019-12-28,2020-01-03,Hambantota,45
9,2020,1,2019-12-28,2020-01-03,Matara,49
10,2020,1,2019-12-28,2020-01-03,Jaffna,378
11,2020,1,2019-12-28,2020-01-03,Kilinochchi,27
12,2020,1,2019-12-28,2020-01-03,Mannar,36
13,2020,1,2019-12-28,2020-01-03,Vavuniya,37
14,2020,1,2019-12-28,2020-01-03,Mullaitivu,15
15,2020,1,2019-12-28,2020-01-03,Batticaloa,264
16,2020,1,2019-12-28,2020-01-03,Ampara,24
17,2020,1,2019-12-28,2020-01-03,Trincomalee,284
18,2020,1,2019-12-28,2020-01-03,Kurunegala,113
19,2020,1,2019-12-28,2020-01-03,Puttalam,75
20,2020,1,2019-12-28,2020-01-03,Anuradhapur,32
21,2020,1,2019-12-28,2020-01-03,Polonnaruwa,15
22,2020,1,2019-12-28,2020-01-03,Badulla,54
23,2020,1,2019-12-28,2020-01-03,Monaragala,0
24,2020,1,2019-12-28,2020-01-03,Ratnapura,73
25,2020,1,2019-12-28,2020-01-03,Kegalle,49
26,2020,1,2019-12-28,2020-01-03,Kalmune,116
27,2020,2,2020-01-04,2020-01-10,Colombo,462
28,2020,2,2020-01-04,2020-01-10,Gampaha,201
29,2020,2,2020-01-04,2020-01-10,Kalutara,155
30,2020,2,2020-01-04,2020-01-10,Kandy,224
31,2020,2,2020-01-04,2020-01-10,Matale,76
32,2020,2,2020-01-04,2020-01-10,NuwaraEliya,10
33,2020,2,2020-01-04,2020-01-10,Galle,178
34,2020,2,2020-01-04,2020-01-10,Hambantota,37
35,2020,2,2020-01-04,2020-01-10,Matara,72
36,2020,2,2020-01-04,2020-01-10,Jaffna,287
37,2020,2,2020-01-04,2020-01-10,Kilinochchi,21
38,2020,2,2020-01-04,2020-01-10,Mannar,22
39,2020,2,2020-01-04,2020-01-10,Vavuniya,0
40,2020,2,2020-01-04,2020-01-10,Mullaitivu,3
41,2020,2,2020-01-04,2020-01-10,Batticaloa,343
42,2020,2,2020-01-04,2020-01-10,Ampara,21
43,2020,2,2020-01-04,2020-01-10,Trincomalee,263
44,2020,2,2020-01-04,2020-01-10,Kurunegala,64
45,2020,2,2020-01-04,2020-01-10,Puttalam,62
46,2020,2,2020-01-04,2020-01-10,Anuradhapur,42
47,2020,2,2020-01-04,2020-01-10,Polonnaruwa,16
48,2020,2,2020-01-04,2020-01-10,Badulla,58
49,2020,2,2020-01-04,2020-01-10,Monaragala,0
50,2020,2,2020-01-04,2020-01-10,Ratnapura,62
51,2020,2,2020-01-04,2020-01-10,Kegalle,53
52,2020,2,2020-01-04,2020-01-10,Kalmune,140
53,2020,3,2020-01-11,2020-01-17,Colombo,481
54,2020,3,2020-01-11,2020-01-17,Gampaha,219
55,2020,3,2020-01-11,2020-01-17,Kalutara,107
56,2020,3,2020-01-11,2020-01-17,Kandy,174
57,2020,3,2020-01-11,2020-01-17,Matale,77
58,2020,3,2020-01-11,2020-01-17,NuwaraEliya,16
59,2020,3,2020-01-11,2020-01-17,Galle,193
60,2020,3,2020-01-11,2020-01-17,Hambantota,45
61,2020,3,2020-01-11,2020-01-17,Matara,65
62,2020,3,2020-01-11,2020-01-17,Jaffna,307
63,2020,3,2020-01-11,2020-01-17,Kilinochchi,15
64,2020,3,2020-01-11,2020-01-17,Mannar,29
65,2020,3,2020-01-11,2020-01-17,Vavuniya,36
66,2020,3,2020-01-11,2020-01-17,Mullaitivu,2
67,2020,3,2020-01-11,2020-01-17,Batticaloa,308
68,2020,3,2020-01-11,2020-01-17,Ampara,14
69,2020,3,2020-01-11,2020-01-17,Trincomalee,433
70,2020,3,2020-01-11,2020-01-17,Kurunegala,72
71,2020,3,2020-01-11,2020-01-17,Puttalam,87
72,2020,3,2020-01-11,2020-01-17,Anuradhapur,39
73,2020,3,2020-01-11,2020-01-17,Polonnaruwa,15
74,2020,3,2020-01-11,2020-01-17,Badulla,62
75,2020,3,2020-01-11,2020-01-17,Monaragala,0
76,2020,3,2020-01-11,2020-01-17,Ratnapura,90
77,2020,3,2020-01-11,2020-01-17,Kegalle,46
78,2020,3,2020-01-11,2020-01-17,Kalmune,144
79,2020,4,2020-01-18,2020-01-24,Colombo,439
80,2020,4,2020-01-18,2020-01-24,Gampaha,238
81,2020,4,2020-01-18,2020-01-24,Kalutara,98
82,2020,4,2020-01-18,2020-01-24,Kandy,154
83,2020,4,2020-01-18,2020-01-24,Matale,64
84,2020,4,2020-01-18,2020-01-24,NuwaraEliya,38
85,2020,4,2020-01-18,2020-01-24,Galle,131
86,2020,4,2020-01-18,2020-01-24,Hambantota,38
87,2020,4,2020-01-18,2020-01-24,Matara,48
88,2020,4,2020-01-18,2020-01-24,Jaffna,254
89,2020,4,2020-01-18,2020-01-24,Kilinochchi,16
90,2020,4,2020-01-18,2020-01-24,Mannar,18
91,2020,4,2020-01-18,2020-01-24,Vavuniya,31
92,2020,4,2020-01-18,2020-01-24,Mullaitivu,11
93,2020,4,2020-01-18,2020-01-24,Batticaloa,228
94,2020,4,2020-01-18,2020-01-24,Ampara,47
95,2020,4,2020-01-18,2020-01-24,Trincomalee,399
96,2020,4,2020-01-18,2020-01-24,Kurunegala,170
97,2020,4,2020-01-18,2020-01-24,Puttalam,53
98,2020,4,2020-01-18,2020-01-24,Anuradhapur,45
99,2020,4,2020-01-18,2020-01-24,Polonnaruwa,21
100,2020,4,2020-01-18,2020-01-24,Badulla,54
101,2020,4,2020-01-18,2020-01-24,Monaragala,0
102,2020,4,2020-01-18,2020-01-24,Ratnapura,88
103,2020,4,2020-01-18,2020-01-24,Kegalle,47
104,2020,4,2020-01-18,2020-01-24,Kalmune,159
105,2020,5,2020-01-25,2020-01-31,Colombo,305
106,2020,5,2020-01-25,2020-01-31,Gampaha,155
107,2020,5,2020-01-25,2020-01-31,Kalutara,72
108,2020,5,2020-01-25,2020-01-31,Kandy,122
109,2020,5,2020-01-25,2020-01-31,Matale,35
110,2020,5,2020-01-25,2020-01-31,NuwaraEliya,13
111,2020,5,2020-01-25,2020-01-31,Galle,90
112,2020,5,2020-01-25,2020-01-31,Hambantota,36
113,2020,5,2020-01-25,2020-01-31,Matara,42
114,2020,5,2020-01-25,2020-01-31,Jaffna,186
115,2020,5,2020-01-25,2020-01-31,Kilinochchi,12
116,2020,5,2020-01-25,2020-01-31,Mannar,13
117,2020,5,2020-01-25,2020-01-31,Vavuniya,34
118,2020,5,2020-01-25,2020-01-31,Mullaitivu,8
119,2020,5,2020-01-25,2020-01-31,Batticaloa,209
120,2020,5,2020-01-25,2020-01-31,Ampara,40
121,2020,5,2020-01-25,2020-01-31,Trincomalee,305
122,2020,5,2020-01-25,2020-01-31,Kurunegala,97
123,2020,5,2020-01-25,2020-01-31,Puttalam,22
124,2020,5,2020-01-25,2020-01-31,Anuradhapur,32
125,2020,5,2020-01-25,2020-01-31,Polonnaruwa,27
126,2020,5,2020-01-25,2020-01-31,Badulla,42
127,2020,5,2020-01-25,2020-01-31,Monaragala,0
128,2020,5,2020-01-25,2020-01-31,Ratnapura,45
129,2020,5,2020-01-25,2020-01-31,Kegalle,44
130,2020,5,2020-01-25,2020-01-31,Kalmune,87
131,2020,6,2020-02-01,2020-02-07,Colombo,247
132,2020,6,2020-02-01,2020-02-07,Gampaha,132
133,2020,6,2020-02-01,2020-02-07,Kalutara,94
134,2020,6,2020-02-01,2020-02-07,Kandy,104
135,2020,6,2020-02-01,2020-02-07,Matale,32
136,2020,6,2020-02-01,2020-02-07,NuwaraEliya,9
137,2020,6,2020-02-01,2020-02-07,Galle,93
138,2020,6,2020-02-01,2020-02-07,Hambantota,28
139,2020,6,2020-02-01,2020-02-07,Matara,34
140,2020,6,2020-02-01,2020-02-07,Jaffna,158
141,2020,6,2020-02-01,2020-02-07,Kilinochchi,9
142,2020,6,2020-02-01,2020-02-07,Mannar,6
143,2020,6,2020-02-01,2020-02-07,Vavuniya,19
144,2020,6,2020-02-01,2020-02-07,Mullaitivu,5
145,2020,6,2020-02-01,2020-02-07,Batticaloa,189
146,2020,6,2020-02-01,2020-02-07,Ampara,43
147,2020,6,2020-02-01,2020-02-07,Trincomalee,229
148,2020,6,2020-02-01,2020-02-07,Kurunegala,58
149,2020,6,2020-02-01,2020-02-07,Puttalam,15
150,2020,6,2020-02-01,2020-02-07,Anuradhapur,25
151,2020,6,2020-02-01,2020-02-07,Polonnaruwa,30
152,2020,6,2020-02-01,2020-02-07,Badulla,30
153,2020,6,2020-02-01,2020-02-07,Monaragala,0
154,2020,6,2020-02-01,2020-02-07,Ratnapura,54
155,2020,6,2020-02-01,2020-02-07,Kegalle,30
156,2020,6,2020-02-01,2020-02-07,Kalmune,73
157,2020,7,2020-02-08,2020-02-14,Colombo,198
158,2020,7,2020-02-08,2020-02-14,Gampaha,114
159,2020,7,2020-02-08,2020-02-14,Kalutara,66
160,2020,7,2020-02-08,2020-02-14,Kandy,73
161,2020,7,2020-02-08,2020-02-14,Matale,24
162,2020,7,2020-02-08,2020-02-14,NuwaraEliya,9
163,2020,7,2020-02-08,2020-02-14,Galle,65
164,2020,7,2020-02-08,2020-02-14,Hambantota,21
165,2020,7,2020-02-08,2020-02-14,Matara,34
166,2020,7,2020-02-08,2020-02-14,Jaffna,118
167,2020,7,2020-02-08,2020-02-14,Kilinochchi,10
168,2020,7,2020-02-08,2020-02-14,Mannar,14
169,2020,7,2020-02-08,2020-02-14,Vavuniya,23
170,2020,7,2020-02-08,2020-02-14,Mullaitivu,1
171,2020,7,2020-02-08,2020-02-14,Batticaloa,197
172,2020,7,2020-02-08,2020-02-14,Ampara,22
173,2020,7,2020-02-08,2020-02-14,Trincomalee,145
174,2020,7,2020-02-08,2020-02-14,Kurunegala,43
175,2020,7,2020-02-08,2020-02-14,Puttalam,32
176,2020,7,2020-02-08,2020-02-14,Anuradhapur,22
177,2020,7,2020-02-08,2020-02-14,Polonnaruwa,22
178,2020,7,2020-02-08,2020-02-14,Badulla,24
179,2020,7,2020-02-08,2020-02-14,Monaragala,0
180,2020,7,2020-02-08,2020-02-14,Ratnapura,70
181,2020,7,2020-02-08,2020-02-14,Kegalle,31
182,2020,7,2020-02-08,2020-02-14,Kalmune,63
183,2020,8,2020-02-15,2020-02-21,Colombo,138
184,2020,8,2020-02-15,2020-02-21,Gampaha,87
185,2020,8,2020-02-15,2020-02-21,Kalutara,55
186,2020,8,2020-02-15,2020-02-21,Kandy,62
187,2020,8,2020-02-15,2020-02-21,Matale,23
188,2020,8,2020-02-15,2020-02-21,NuwaraEliya,5
189,2020,8,2020-02-15,2020-02-21,Galle,51
190,2020,8,2020-02-15,2020-02-21,Hambantota,12
191,2020,8,2020-02-15,2020-02-21,Matara,29
192,2020,8,2020-02-15,2020-02-21,Jaffna,118
193,2020,8,2020-02-15,2020-02-21,Kilinochchi,6
194,2020,8,2020-02-15,2020-02-21,Mannar,1
195,2020,8,2020-02-15,2020-02-21,Vavuniya,9
196,2020,8,2020-02-15,2020-02-21,Mullaitivu,5
197,2020,8,2020-02-15,2020-02-21,Batticaloa,149
198,2020,8,2020-02-15,2020-02-21,Ampara,12
199,2020,8,2020-02-15,2020-02-21,Trincomalee,91
200,2020,8,2020-02-15,2020-02-21,Kurunegala,26
201,2020,8,2020-02-15,2020-02-21,Puttalam,12
202,2020,8,2020-02-15,2020-02-21,Anuradhapur,20
203,2020,8,2020-02-15,2020-02-21,Polonnaruwa,11
204,2020,8,2020-02-15,2020-02-21,Badulla,22
205,2020,8,2020-02-15,2020-02-21,Monaragala,0
206,2020,8,2020-02-15,2020-02-21,Ratnapura,31
207,2020,8,2020-02-15,2020-02-21,Kegalle,21
208,2020,8,2020-02-15,2020-02-21,Kalmune,57
209,2020,9,2020-02-22,2020-02-28,Colombo,175
210,2020,9,2020-02-22,2020-02-28,Gampaha,107
211,2020,9,2020-02-22,2020-02-28,Kalutara,58
212,2020,9,2020-02-22,2020-02-28,Kandy,51
213,2020,9,2020-02-22,2020-02-28,Matale,27
214,2020,9,2020-02-22,2020-02-28,NuwaraEliya,12
215,2020,9,2020-02-22,2020-02-28,Galle,29
216,2020,9,2020-02-22,2020-02-28,Hambantota,17
217,2020,9,2020-02-22,2020-02-28,Matara,22
218,2020,9,2020-02-22,2020-02-28,Jaffna,96
219,2020,9,2020-02-22,2020-02-28,Kilinochchi,6
220,2020,9,2020-02-22,2020-02-28,Mannar,4
221,2020,9,2020-02-22,2020-02-28,Vavuniya,21
222,2020,9,2020-02-22,2020-02-28,Mullaitivu,1
223,2020,9,2020-02-22,2020-02-28,Batticaloa,115
224,2020,9,2020-02-22,2020-02-28,Ampara,11
225,2020,9,2020-02-22,2020-02-28,Trincomalee,71
226,2020,9,2020-02-22,2020-02-28,Kurunegala,28
227,2020,9,2020-02-22,2020-02-28,Puttalam,19
228,2020,9,2020-02-22,2020-02-28,Anuradhapur,17
229,2020,9,2020-02-22,2020-02-28,Polonnaruwa,14
230,2020,9,2020-02-22,2020-02-28,Badulla,15
231,2020,9,2020-02-22,2020-02-28,Monaragala,0
232,2020,9,2020-02-22,2020-02-28,Ratnapura,42
233,2020,9,2020-02-22,2020-02-28,Kegalle,25
234,2020,9,2020-02-22,2020-02-28,Kalmune,35
235,2020,10,2020-02-29,2020-03-06,Colombo,92
236,2020,10,2020-02-29,2020-03-06,Gampaha,47
237,2020,10,2020-02-29,2020-03-06,Kalutara,35
238,2020,10,2020-02-29,2020-03-06,Kandy,26
239,2020,10,2020-02-29,2020-03-06,Matale,13
240,2020,10,2020-02-29,2020-03-06,NuwaraEliya,5
241,2020,10,2020-02-29,2020-03-06,Galle,29
242,2020,10,2020-02-29,2020-03-06,Hambantota,12
243,2020,10,2020-02-29,2020-03-06,Matara,3
244,2020,10,2020-02-29,2020-03-06,Jaffna,81
245,2020,10,2020-02-29,2020-03-06,Kilinochchi,5
246,2020,10,2020-02-29,2020-03-06,Mannar,0
247,2020,10,2020-02-29,2020-03-06,Vavuniya,3
248,2020,10,2020-02-29,2020-03-06,Mullaitivu,0
249,2020,10,2020-02-29,2020-03-06,Batticaloa,108
250,2020,10,2020-02-29,2020-03-06,Ampara,16
251,2020,10,2020-02-29,2020-03-06,Trincomalee,46
252,2020,10,2020-02-29,2020-03-06,Kurunegala,23
253,2020,10,2020-02-29,2020-03-06,Puttalam,12
254,2020,10,2020-02-29,2020-03-06,Anuradhapur,8
255,2020,10,2020-02-29,2020-03-06,Polonnaruwa,10
256,2020,10,2020-02-29,2020-03-06,Badulla,17
257,2020,10,2020-02-29,2020-03-06,Monaragala,0
258,2020,10,2020-02-29,2020-03-06,Ratnapura,21
259,2020,10,2020-02-29,2020-03-06,Kegalle,20
260,2020,10,2020-02-29,2020-03-06,Kalmune,21
261,2020,11,2020-03-07,2020-03-13,Colombo,81
262,2020,11,2020-03-07,2020-03-13,Gampaha,18
263,2020,11,2020-03-07,2020-03-13,Kalutara,32
264,2020,11,2020-03-07,2020-03-13,Kandy,41
265,2020,11,2020-03-07,2020-03-13,Matale,11
266,2020,11,2020-03-07,2020-03-13,NuwaraEliya,4
267,2020,11,2020-03-07,2020-03-13,Galle,9
268,2020,11,2020-03-07,2020-03-13,Hambantota,7
269,2020,11,2020-03-07,2020-03-13,Matara,2
270,2020,11,2020-03-07,2020-03-13,Jaffna,34
271,2020,11,2020-03-07,2020-03-13,Kilinochchi,0
272,2020,11,2020-03-07,2020-03-13,Mannar,1
273,2020,11,2020-03-07,2020-03-13,Vavuniya,9
274,2020,11,2020-03-07,2020-03-13,Mullaitivu,0
275,2020,11,2020-03-07,2020-03-13,Batticaloa,56
276,2020,11,2020-03-07,2020-03-13,Ampara,15
277,2020,11,2020-03-07,2020-03-13,Trincomalee,43
278,2020,11,2020-03-07,2020-03-13,Kurunegala,17
279,2020,11,2020-03-07,2020-03-13,Puttalam,13
280,2020,11,2020-03-07,2020-03-13,Anuradhapur,13
281,2020,11,2020-03-07,2020-03-13,Polonnaruwa,8
282,2020,11,2020-03-07,2020-03-13,Badulla,9
283,2020,11,2020-03-07,2020-03-13,Monaragala,0
284,2020,11,2020-03-07,2020-03-13,Ratnapura,27
285,2020,11,2020-03-07,2020-03-13,Kegalle,12
286,2020,11,2020-03-07,2020-03-13,Kalmune,10
287,2020,12,2020-03-14,2020-03-20,Colombo,48
288,2020,12,2020-03-14,2020-03-20,Gampaha,10
289,2020,12,2020-03-14,2020-03-20,Kalutara,20
290,2020,12,2020-03-14,2020-03-20,Kandy,21
291,2020,12,2020-03-14,2020-03-20,Matale,10
292,2020,12,2020-03-14,2020-03-20,NuwaraEliya,2
293,2020,12,2020-03-14,2020-03-20,Galle,3
294,2020,12,2020-03-14,2020-03-20,Hambantota,2
295,2020,12,2020-03-14,2020-03-20,Matara,0
296,2020,12,2020-03-14,2020-03-20,Jaffna,19
297,2020,12,2020-03-14,2020-03-20,Kilinochchi,3
298,2020,12,2020-03-14,2020-03-20,Mannar,0
299,2020,12,2020-03-14,2020-03-20,Vavuniya,3
300,2020,12,2020-03-14,2020-03-20,Mullaitivu,1
301,2020,12,2020-03-14,2020-03-20,Batticaloa,34
302,2020,12,2020-03-14,2020-03-20,Ampara,8
303,2020,12,2020-03-14,2020-03-20,Trincomalee,22
304,2020,12,2020-03-14,2020-03-20,Kurunegala,8
305,2020,12,2020-03-14,2020-03-20,Puttalam,4
306,2020,12,2020-03-14,2020-03-20,Anuradhapur,9
307,2020,12,2020-03-14,2020-03-20,Polonnaruwa,4
308,2020,12,2020-03-14,2020-03-20,Badulla,4
309,2020,12,2020-03-14,2020-03-20,Monaragala,0
310,2020,12,2020-03-14,2020-03-20,Ratnapura,7
311,2020,12,2020-03-14,2020-03-20,Kegalle,3
312,2020,12,2020-03-14,2020-03-20,Kalmune,8
313,2020,13,2020-03-21,2020-03-27,Colombo,12
314,2020,13,2020-03-21,2020-03-27,Gampaha,8
315,2020,13,2020-03-21,2020-03-27,Kalutara,9
316,2020,13,2020-03-21,2020-03-27,Kandy,19
317,2020,13,2020-03-21,2020-03-27,Matale,6
318,2020,13,2020-03-21,2020-03-27,NuwaraEliya,5
319,2020,13,2020-03-21,2020-03-27,Galle,2
320,2020,13,2020-03-21,2020-03-27,Hambantota,0
321,2020,13,2020-03-21,2020-03-27,Matara,0
322,2020,13,2020-03-21,2020-03-27,Jaffna,15
323,2020,13,2020-03-21,2020-03-27,Kilinochchi,0
324,2020,13,2020-03-21,2020-03-27,Mannar,0
325,2020,13,2020-03-21,2020-03-27,Vavuniya,0
326,2020,13,2020-03-21,2020-03-27,Mullaitivu,0
327,2020,13,2020-03-21,2020-03-27,Batticaloa,23
328,2020,13,2020-03-21,2020-03-27,Ampara,0
329,2020,13,2020-03-21,2020-03-27,Trincomalee,14
330,2020,13,2020-03-21,2020-03-27,Kurunegala,1
331,2020,13,2020-03-21,2020-03-27,Puttalam,0
332,2020,13,2020-03-21,2020-03-27,Anuradhapur,0
333,2020,13,2020-03-21,2020-03-27,Polonnaruwa,1
334,2020,13,2020-03-21,2020-03-27,Badulla,1
335,2020,13,2020-03-21,2020-03-27,Monaragala,0
336,2020,13,2020-03-21,2020-03-27,Ratnapura,6
337,2020,13,2020-03-21,2020-03-27,Kegalle,5
338,2020,13,2020-03-21,2020-03-27,Kalmune,0
339,2020,14,2020-03-28,2020-04-03,Colombo,2
340,2020,14,2020-03-28,2020-04-03,Gampaha,4
341,2020,14,2020-03-28,2020-04-03,Kalutara,15
342,2020,14,2020-03-28,2020-04-03,Kandy,6
343,2020,14,2020-03-28,2020-04-03,Matale,2
344,2020,14,2020-03-28,2020-04-03,NuwaraEliya,1
345,2020,14,2020-03-28,2020-04-03,Galle,1
346,2020,14,2020-03-28,2020-04-03,Hambantota,0
347,2020,14,2020-03-28,2020-04-03,Matara,0
348,2020,14,2020-03-28,2020-04-03,Jaffna,17
349,2020,14,2020-03-28,2020-04-03,Kilinochchi,1
350,2020,14,2020-03-28,2020-04-03,Mannar,0
351,2020,14,2020-03-28,2020-04-03,Vavuniya,2
352,2020,14,2020-03-28,2020-04-03,Mullaitivu,1
353,2020,14,2020-03-28,2020-04-03,Batticaloa,24
354,2020,14,2020-03-28,2020-04-03,Ampara,0
355,2020,14,2020-03-28,2020-04-03,Trincomalee,18
356,2020,14,2020-03-28,2020-04-03,Kurunegala,1
357,2020,14,2020-03-28,2020-04-03,Puttalam,0
358,2020,14,2020-03-28,2020-04-03,Anuradhapur,1
359,2020,14,2020-03-28,2020-04-03,Polonnaruwa,1
360,2020,14,2020-03-28,2020-04-03,Badulla,3
361,2020,14,2020-03-28,2020-04-03,Monaragala,0
362,2020,14,2020-03-28,2020-04-03,Ratnapura,16
363,2020,14,2020-03-28,2020-04-03,Kegalle,6
364,2020,14,2020-03-28,2020-04-03,Kalmune,5
365,2020,15,2020-04-04,2020-04-10,Colombo,10
366,2020,15,2020-04-04,2020-04-10,Gampaha,7
367,2020,15,2020-04-04,2020-04-10,Kalutara,10
368,2020,15,2020-04-04,2020-04-10,Kandy,2
369,2020,15,2020-04-04,2020-04-10,Matale,0
370,2020,15,2020-04-04,2020-04-10,NuwaraEliya,0
371,2020,15,2020-04-04,2020-04-10,Galle,1
372,2020,15,2020-04-04,2020-04-10,Hambantota,0
373,2020,15,2020-04-04,2020-04-10,Matara,0
374,2020,15,2020-04-04,2020-04-10,Jaffna,8
375,2020,15,2020-04-04,2020-04-10,Kilinochchi,0
376,2020,15,2020-04-04,2020-04-10,Mannar,0
377,2020,15,2020-04-04,2020-04-10,Vavuniya,1
378,2020,15,2020-04-04,2020-04-10,Mullaitivu,0
379,2020,15,2020-04-04,2020-04-10,Batticaloa,22
380,2020,15,2020-04-04,2020-04-10,Ampara,2
381,2020,15,2020-04-04,2020-04-10,Trincomalee,7
382,2020,15,2020-04-04,2020-04-10,Kurunegala,1
383,2020,15,2020-04-04,2020-04-10,Puttalam,0
384,2020,15,2020-04-04,2020-04-10,Anuradhapur,2
385,2020,15,2020-04-04,2020-04-10,Polonnaruwa,0
386,2020,15,2020-04-04,2020-04-10,Badulla,1
387,2020,15,2020-04-04,2020-04-10,Monaragala,0
388,2020,15,2020-04-04,2020-04-10,Ratnapura,2
389,2020,15,2020-04-04,2020-04-10,Kegalle,3
390,2020,15,2020-04-04,2020-04-10,Kalmune,9
391,2020,16,2020-04-11,2020-04-17,Colombo,8
392,2020,16,2020-04-11,2020-04-17,Gampaha,2
393,2020,16,2020-04-11,2020-04-17,Kalutara,8
394,2020,16,2020-04-11,2020-04-17,Kandy,14
395,2020,16,2020-04-11,2020-04-17,Matale,3
396,2020,16,2020-04-11,2020-04-17,NuwaraEliya,0
397,2020,16,2020-04-11,2020-04-17,Galle,1
398,2020,16,2020-04-11,2020-04-17,Hambantota,4
399,2020,16,2020-04-11,2020-04-17,Matara,0
400,2020,16,2020-04-11,2020-04-17,Jaffna,4
401,2020,16,2020-04-11,2020-04-17,Kilinochchi,0
402,2020,16,2020-04-11,2020-04-17,Mannar,0
403,2020,16,2020-04-11,2020-04-17,Vavuniya,1
404,2020,16,2020-04-11,2020-04-17,Mullaitivu,0
405,2020,16,2020-04-11,2020-04-17,Batticaloa,23
406,2020,16,2020-04-11,2020-04-17,Ampara,1
407,2020,16,2020-04-11,2020-04-17,Trincomalee,7
408,2020,16,2020-04-11,2020-04-17,Kurunegala,1
409,2020,16,2020-04-11,2020-04-17,Puttalam,3
410,2020,16,2020-04-11,2020-04-17,Anuradhapur,0
411,2020,16,2020-04-11,2020-04-17,Polonnaruwa,1
412,2020,16,2020-04-11,2020-04-17,Badulla,1
413,2020,16,2020-04-11,2020-04-17,Monaragala,0
414,2020,16,2020-04-11,2020-04-17,Ratnapura,0
415,2020,16,2020-04-11,2020-04-17,Kegalle,3
416,2020,16,2020-04-11,2020-04-17,Kalmune,6
417,2020,17,2020-04-18,2020-04-24,Colombo,8
418,2020,17,2020-04-18,2020-04-24,Gampaha,5
419,2020,17,2020-04-18,2020-04-24,Kalutara,13
420,2020,17,2020-04-18,2020-04-24,Kandy,14
421,2020,17,2020-04-18,2020-04-24,Matale,4
422,2020,17,2020-04-18,2020-04-24,NuwaraEliya,1
423,2020,17,2020-04-18,2020-04-24,Galle,7
424,2020,17,2020-04-18,2020-04-24,Hambantota,0
425,2020,17,2020-04-18,2020-04-24,Matara,0
426,2020,17,2020-04-18,2020-04-24,Jaffna,9
427,2020,17,2020-04-18,2020-04-24,Kilinochchi,0
428,2020,17,2020-04-18,2020-04-24,Mannar,0
429,2020,17,2020-04-18,2020-04-24,Vavuniya,1
430,2020,17,2020-04-18,2020-04-24,Mullaitivu,0
431,2020,17,2020-04-18,2020-04-24,Batticaloa,17
432,2020,17,2020-04-18,2020-04-24,Ampara,0
433,2020,17,2020-04-18,2020-04-24,Trincomalee,3
434,2020,17,2020-04-18,2020-04-24,Kurunegala,0
435,2020,17,2020-04-18,2020-04-24,Puttalam,2
436,2020,17,2020-04-18,2020-04-24,Anuradhapur,3
437,2020,17,2020-04-18,2020-04-24,Polonnaruwa,0
438,2020,17,2020-04-18,2020-04-24,Badulla,4
439,2020,17,2020-04-18,2020-04-24,Monaragala,0
440,2020,17,2020-04-18,2020-04-24,Ratnapura,3
441,2020,17,2020-04-18,2020-04-24,Kegalle,5
