year,week,start.date,end.date,district,cases
2024,52,2023-12-23,2023-12-29,Colombo,375
2024,52,2023-12-23,2023-12-29,Gampaha,146
2024,52,2023-12-23,2023-12-29,Kalutara,89
2024,52,2023-12-23,2023-12-29,Kandy,330
2024,52,2023-12-23,2023-12-29,Matale,71
2024,52,2023-12-23,2023-12-29,NuwaraEliya,13
2024,52,2023-12-23,2023-12-29,Galle,93
2024,52,2023-12-23,2023-12-29,Hambantota,18
2024,52,2023-12-23,2023-12-29,Matara,20
2024,52,2023-12-23,2023-12-29,Jaffna,746
2024,52,2023-12-23,2023-12-29,Kilinochchi,17
2024,52,2023-12-23,2023-12-29,Mannar,25
2024,52,2023-12-23,2023-12-29,Vavuniya,19
2024,52,2023-12-23,2023-12-29,Mullaitivu,24
2024,52,2023-12-23,2023-12-29,Batticaloa,113
2024,52,2023-12-23,2023-12-29,Ampara,5
2024,52,2023-12-23,2023-12-29,Trincomalee,23
2024,52,2023-12-23,2023-12-29,Kurunegala,164
2024,52,2023-12-23,2023-12-29,Puttalam,63
2024,52,2023-12-23,2023-12-29,Anuradhapura,42
2024,52,2023-12-23,2023-12-29,Polonnaruwa,8
2024,52,2023-12-23,2023-12-29,Badulla,120
2024,52,2023-12-23,2023-12-29,Monaragala,29
2024,52,2023-12-23,2023-12-29,Ratnapura,54
2024,52,2023-12-23,2023-12-29,Kegalle,119
2024,52,2023-12-23,2023-12-29,Kalmune,34
2024,1,2023-12-30,2024-01-05,Colombo,299
2024,1,2023-12-30,2024-01-05,Gampaha,146
2024,1,2023-12-30,2024-01-05,Kalutara,77
2024,1,2023-12-30,2024-01-05,Kandy,237
2024,1,2023-12-30,2024-01-05,Matale,40
2024,1,2023-12-30,2024-01-05,NuwaraEliya,19
2024,1,2023-12-30,2024-01-05,Galle,107
2024,1,2023-12-30,2024-01-05,Hambantota,38
2024,1,2023-12-30,2024-01-05,Matara,46
2024,1,2023-12-30,2024-01-05,Jaffna,623
2024,1,2023-12-30,2024-01-05,Kilinochchi,29
2024,1,2023-12-30,2024-01-05,Mannar,53
2024,1,2023-12-30,2024-01-05,Vavuniya,20
2024,1,2023-12-30,2024-01-05,Mullaitivu,25
2024,1,2023-12-30,2024-01-05,Batticaloa,142
2024,1,2023-12-30,2024-01-05,Ampara,11
2024,1,2023-12-30,2024-01-05,Trincomalee,42
2024,1,2023-12-30,2024-01-05,Kurunegala,155
2024,1,2023-12-30,2024-01-05,Puttalam,90
2024,1,2023-12-30,2024-01-05,Anuradhapura,28
2024,1,2023-12-30,2024-01-05,Polonnaruwa,21
2024,1,2023-12-30,2024-01-05,Badulla,111
2024,1,2023-12-30,2024-01-05,Monaragala,42
2024,1,2023-12-30,2024-01-05,Ratnapura,76
2024,1,2023-12-30,2024-01-05,Kegalle,112
2024,1,2023-12-30,2024-01-05,Kalmune,67
2024,2,2024-01-06,2024-01-12,Colombo,549
2024,2,2024-01-06,2024-01-12,Gampaha,111
2024,2,2024-01-06,2024-01-12,Kalutara,103
2024,2,2024-01-06,2024-01-12,Kandy,199
2024,2,2024-01-06,2024-01-12,Matale,39
2024,2,2024-01-06,2024-01-12,NuwaraEliya,28
2024,2,2024-01-06,2024-01-12,Galle,84
2024,2,2024-01-06,2024-01-12,Hambantota,55
2024,2,2024-01-06,2024-01-12,Matara,35
2024,2,2024-01-06,2024-01-12,Jaffna,805
2024,2,2024-01-06,2024-01-12,Kilinochchi,52
2024,2,2024-01-06,2024-01-12,Mannar,35
2024,2,2024-01-06,2024-01-12,Vavuniya,27
2024,2,2024-01-06,2024-01-12,Mullaitivu,26
2024,2,2024-01-06,2024-01-12,Batticaloa,123
2024,2,2024-01-06,2024-01-12,Ampara,10
2024,2,2024-01-06,2024-01-12,Trincomalee,50
2024,2,2024-01-06,2024-01-12,Kurunegala,127
2024,2,2024-01-06,2024-01-12,Puttalam,92
2024,2,2024-01-06,2024-01-12,Anuradhapura,28
2024,2,2024-01-06,2024-01-12,Polonnaruwa,12
2024,2,2024-01-06,2024-01-12,Badulla,78
2024,2,2024-01-06,2024-01-12,Monaragala,29
