year,week,start.date,end.date,district,cases
2025,1,2024-12-21,2024-12-27,Colombo,231
2025,1,2024-12-21,2024-12-27,Gampaha,131
2025,1,2024-12-21,2024-12-27,Kalutara,34
2025,1,2024-12-21,2024-12-27,Kandy,76
2025,1,2024-12-21,2024-12-27,Matale,34
2025,1,2024-12-21,2024-12-27,NuwaraEliya,10
2025,1,2024-12-21,2024-12-27,Galle,25
2025,1,2024-12-21,2024-12-27,Hambantota,21
2025,1,2024-12-21,2024-12-27,Matara,26
2025,1,2024-12-21,2024-12-27,Jaffna,76
2025,1,2024-12-21,2024-12-27,Kilinochchi,5
2025,1,2024-12-21,2024-12-27,Mannar,12
2025,1,2024-12-21,2024-12-27,Vavuniya,2
2025,1,2024-12-21,2024-12-27,Mullaitivu,4
2025,1,2024-12-21,2024-12-27,Batticaloa,47
2025,1,2024-12-21,2024-12-27,Ampara,4
2025,1,2024-12-21,2024-12-27,Trincomalee,30
2025,1,2024-12-21,2024-12-27,Kurunegala,26
2025,1,2024-12-21,2024-12-27,Puttalam,23
2025,1,2024-12-21,2024-12-27,Anuradhapura,12
2025,1,2024-12-21,2024-12-27,Polonnaruwa,6
2025,1,2024-12-21,2024-12-27,Badulla,19
2025,1,2024-12-21,2024-12-27,Monaragala,13
2025,1,2024-12-21,2024-12-27,Ratnapura,47
2025,1,2024-12-21,2024-12-27,Kegalle,44
2025,1,2024-12-21,2024-12-27,Kalmune,11
2025,2,2024-12-28,2025-01-03,Colombo,200
2025,2,2024-12-28,2025-01-03,Gampaha,186
2025,2,2024-12-28,2025-01-03,Kalutara,65
2025,2,2024-12-28,2025-01-03,Kandy,66
2025,2,2024-12-28,2025-01-03,Matale,52
2025,2,2024-12-28,2025-01-03,NuwaraEliya,5
2025,2,2024-12-28,2025-01-03,Galle,30
2025,2,2024-12-28,2025-01-03,Hambantota,36
2025,2,2024-12-28,2025-01-03,Matara,28
2025,2,2024-12-28,2025-01-03,Jaffna,58
2025,2,2024-12-28,2025-01-03,Kilinochchi,5
2025,2,2024-12-28,2025-01-03,Mannar,11
2025,2,2024-12-28,2025-01-03,Vavuniya,4
2025,2,2024-12-28,2025-01-03,Mullaitivu,3
2025,2,2024-12-28,2025-01-03,Batticaloa,62
2025,2,2024-12-28,2025-01-03,Ampara,4
2025,2,2024-12-28,2025-01-03,Trincomalee,28
2025,2,2024-12-28,2025-01-03,Kurunegala,26
