year,week,start.date,end.date,district,cases
2006,52,2006-12-23,2006-12-29,Colombo,71
2006,52,2006-12-23,2006-12-29,Gampaha,12
2006,52,2006-12-23,2006-12-29,Kalutara,12
2006,52,2006-12-23,2006-12-29,Kandy,20
2006,52,2006-12-23,2006-12-29,Matale,4
2006,52,2006-12-23,2006-12-29,NuwaraEliya,1
2006,52,2006-12-23,2006-12-29,Galle,1
2006,52,2006-12-23,2006-12-29,Hambanthota,1
2006,52,2006-12-23,2006-12-29,Matara,11
2006,52,2006-12-23,2006-12-29,Jaffna,0
2006,52,2006-12-23,2006-12-29,Kilinochchi,0
2006,52,2006-12-23,2006-12-29,Mannar,0
2006,52,2006-12-23,2006-12-29,Vavuniya,3
2006,52,2006-12-23,2006-12-29,Mullaitivu,0
2006,52,2006-12-23,2006-12-29,Batticaloa,0
2006,52,2006-12-23,2006-12-29,Ampara,0
2006,52,2006-12-23,2006-12-29,Trincomalee,0
2006,52,2006-12-23,2006-12-29,Kurunegala,16
2006,52,2006-12-23,2006-12-29,Puttalam,6
2006,52,2006-12-23,2006-12-29,Anuradhapura,4
2006,52,2006-12-23,2006-12-29,Polonnaruwa,1
2006,52,2006-12-23,2006-12-29,Badulla,2
2006,52,2006-12-23,2006-12-29,Monaragala,0
2006,52,2006-12-23,2006-12-29,Ratnapura,1
2006,52,2006-12-23,2006-12-29,Kegalle,1
2006,52,2006-12-23,2006-12-29,Kalmune,0
2007,1,2006-12-30,2007-01-05,Colombo,40
2007,1,2006-12-30,2007-01-05,Gampaha,11
2007,1,2006-12-30,2007-01-05,Kalutara,20
2007,1,2006-12-30,2007-01-05,Kandy,41
2007,1,2006-12-30,2007-01-05,Matale,2
2007,1,2006-12-30,2007-01-05,NuwaraEliya,4
2007,1,2006-12-30,2007-01-05,Galle,10
2007,1,2006-12-30,2007-01-05,Hambanthota,1
2007,1,2006-12-30,2007-01-05,Matara,8
2007,1,2006-12-30,2007-01-05,Jaffna,0
2007,1,2006-12-30,2007-01-05,Kilinochchi,0
2007,1,2006-12-30,2007-01-05,Mannar,2
2007,1,2006-12-30,2007-01-05,Vavuniya,3
2007,1,2006-12-30,2007-01-05,Mullaitivu,0
2007,1,2006-12-30,2007-01-05,Batticaloa,0
2007,1,2006-12-30,2007-01-05,Ampara,0
2007,1,2006-12-30,2007-01-05,Trincomalee,2
2007,1,2006-12-30,2007-01-05,Kurunegala,11
2007,1,2006-12-30,2007-01-05,Puttalam,13
2007,1,2006-12-30,2007-01-05,Anuradhapura,0
2007,1,2006-12-30,2007-01-05,Polonnaruwa,4
2007,1,2006-12-30,2007-01-05,Badulla,0
2007,1,2006-12-30,2007-01-05,Monaragala,0
2007,1,2006-12-30,2007-01-05,Ratnapura,5
2007,1,2006-12-30,2007-01-05,Kegalle,4
2007,1,2006-12-30,2007-01-05,Kalmune,0
2007,2,2007-01-06,2007-01-12,Colombo,43
2007,2,2007-01-06,2007-01-12,Gampaha,13
2007,2,2007-01-06,2007-01-12,Kalutara,7
2007,2,2007-01-06,2007-01-12,Kandy,28
2007,2,2007-01-06,2007-01-12,Matale,7
